fname	inst_name	time	from_to	item	amount
367000solu.dat	367000	56->57	5->9	(113,	vid)	115.2
367000solu.dat	367000	57->58	107->5	(107,	vid)	115.2
367000solu.dat	367000	57->58	5->9	(113,	vid)	115.2
367000solu.dat	367000	58->59	107->5	(107,	vid)	115.2
367000solu.dat	367000	58->59	5->9	(107,	vid)	115.2
367000solu.dat	367000	59->60	107->5	(107,	vid)	115.2
367000solu.dat	367000	59->60	5->9	(107,	vid)	115.2
367000solu.dat	367000	60->61	107->5	(107,	vid)	115.2
367000solu.dat	367000	60->61	5->9	(107,	vid)	115.2
367000solu.dat	367000	61->62	103->6	(103,	vid)	1876.63
367000solu.dat	367000	61->62	107->5	(107,	vid)	35.13
367000solu.dat	367000	61->62	111->8	(111,	vid)	2222.23
367000solu.dat	367000	61->62	117->7	(117,	vid)	2107.03
367000solu.dat	367000	61->62	5->9	(107,	vid)	115.2
367000solu.dat	367000	62->63	103->6	(103,	vid)	2222.23
367000solu.dat	367000	62->63	107->5	(107,	vid)	2222.23
367000solu.dat	367000	62->63	111->8	(111,	vid)	2222.23
367000solu.dat	367000	62->63	113->5	(113,	vid)	66.85
367000solu.dat	367000	62->63	117->7	(117,	vid)	2222.23
367000solu.dat	367000	62->63	6->9	(103,	vid)	115.2
367000solu.dat	367000	63->64	103->6	(103,	vid)	2222.23
367000solu.dat	367000	63->64	107->5	(107,	vid)	2222.23
367000solu.dat	367000	63->64	111->8	(111,	vid)	2222.23
367000solu.dat	367000	63->64	113->5	(113,	vid)	2222.23
367000solu.dat	367000	63->64	117->7	(117,	vid)	2222.23
367000solu.dat	367000	63->64	6->9	(103,	vid)	115.2
367000solu.dat	367000	64->65	103->6	(103,	vid)	2222.23
367000solu.dat	367000	64->65	107->5	(107,	vid)	2222.23
367000solu.dat	367000	64->65	111->8	(111,	vid)	2222.23
367000solu.dat	367000	64->65	113->5	(113,	vid)	2222.23
367000solu.dat	367000	64->65	117->7	(117,	vid)	2222.23
367000solu.dat	367000	64->65	5->9	(113,	vid)	115.2
367000solu.dat	367000	65->66	103->6	(103,	vid)	2222.23
367000solu.dat	367000	65->66	107->5	(107,	pic)	1.7
367000solu.dat	367000	65->66	107->5	(107,	vid)	2222.23
367000solu.dat	367000	65->66	111->8	(111,	pic)	1.7
367000solu.dat	367000	65->66	111->8	(111,	vid)	2222.23
367000solu.dat	367000	65->66	113->5	(113,	pic)	1.7
367000solu.dat	367000	65->66	113->5	(113,	vid)	2222.23
